URL,Paragraph
https://sol.sbc.org.br/index.php/wit/article/view/15847,"O objetivo deste trabalho é salientar o histórico da participação feminina na área de Tecnologia da Informação (TI) e destacar o cenário feminino atual dos cursos superiores de TI no Brasil. Para isso, realizou-se uma pesquisa bibliográfica e uma análise dos microdados referentes ao Censo da Educação Superior do período de 2014 a 2019, disponibilizados pelo Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (INEP). Os resultados indicam a baixa representatividade feminina nos Cursos Superiores de TI no Brasil, durante o período estudado."
https://sol.sbc.org.br/index.php/wit/article/view/15847,"*O conteúdo publicado neste portal representa exclusivamente a opinião de seus autores e não necessariamente a posição da Sociedade Brasileira de Computação – SBC, seus colaboradores e associados. A SBC poderá adotar a qualquer tempo, e sem a necessidade de prévio aviso, a cobrança de uso e disponibilização da plataforma e seu conteúdo para não associados."
https://sol.sbc.org.br/index.php/wit/article/view/15847,
https://www.maismulheres.tech/,"Somos a 1ª plataforma brasileira criada por mulheres, com a missão para capacitar mulheres em tecnologia e inovação 🎉"
https://www.maismulheres.tech/,"A WoMakersCode é uma organização sem fins lucrativos, com a missão de impulsionar o protagonismo feminino na tecnologia, através da formação e empregabilidade de mulheres. Já impactamos mais de 250 mil mulheres no país e fomos reconhecidas pelo Women to Watch 2020, como um dos coletivos que têm mudado o mercado de trabalho.  Em 2022, nos tornamos o primeiro coletivo de mulheres na tecnologia a fazer parte do Pacto Global da ONU no Brasil e recebemos o prêmio ""Selo da Igualdade Racial"" da Prefeitura de São Paulo."
https://www.maismulheres.tech/,Premiações e reconhecimentos
https://www.maismulheres.tech/,"Nossa plataforma está disponível 24 horas por dia, 7 dias por semana, permitindo que você assista às aulas no seu computador, tablet ou celular. A flexibilidade é toda sua!"
https://www.maismulheres.tech/,"Ao se inscrever em nossa plataforma, você terá um prazo de 30 dias para concluir o curso selecionado, proporcionando tempo suficiente para estudar de acordo com sua agenda."
https://www.maismulheres.tech/,"Ao concluir o curso, você receberá um certificado digital da WoMakersCode. O certificado pode ser baixado e incluído em seu currículo, destacando suas conquistas em suas trajetórias profissionais."
https://www.maismulheres.tech/,São mais de 10 cursos gratuitos com certificado de conclusão!
https://www.maismulheres.tech/,"
            Programa de Capacitação em Computação em Nuvem com Microsoft Azure para Impulsionar sua Carreira em Tecnologia.
          "
https://www.maismulheres.tech/,"

                Grátis
              
"
https://www.maismulheres.tech/,"
            O #ElasNaIA oferece um programa de capacitação exclusivo para mulheres interessadas em dominar a Inteligência Artificial. O programa inclui três semanas de mentoria intensiva com aulas ao vivo da Microsoft. 
          "
https://www.maismulheres.tech/,"
            Explore o Poder do GitHub e prepare-se para a certificação GitHub Foundations.
          "
https://www.maismulheres.tech/,"Com a colaboração de nossos parceiros, oferecemos conteúdos gratuitos e de qualidade, democratizando o conhecimento nas principais carreiras digitais."
https://www.maismulheres.tech/,
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia, Fale com a gente 
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Busque, compare e escolha o curso que vai mudar sua vida."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,Pague a adesão para garantir sua vaga.
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,Faça o processo seletivo e depois se matrIcule na faculdade.
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"As mulheres são maioria quando o assunto é número de profissionais fora do mercado de trabalho formal. Quando se trata de mulheres na tecnologia, a disparidade de gênero é ainda mais evidente, sendo apenas 39% de presença feminina no Brasil, de acordo com o Relatório de Diversidade no Setor TIC, elaborado pela Brasscom."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,+ Encontre bolsas de estudo de até 80%
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"É pensando nesses dados que diversas empresas criam iniciativas de incentivo para mulheres na tecnologia, oferecendo formações e mentorias para a inserção delas no mercado de trabalho."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,Conheça algumas dessas iniciativas e alguns cursos gratuitos para  mulheres na tecnologia!
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,+ Descubra se a área de tecnologia combina com você!
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"As empresas investem em projetos para mulheres na tecnologia por uma série de motivos. Em primeiro lugar, a diversidade de gênero é importante para a criação de equipes mais criativas e inovadoras. "
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,Estudos mostram que a presença de mulheres em equipes de tecnologia aumenta a probabilidade de se criar produtos e serviços que atendam às necessidades de um público mais amplo. Conheça alguns:
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"A empresa Cisco anunciou a 4ª edição do projeto Women Rock IT, um programa gratuito que oferece cursos profissionalizantes de tecnologia gratuitos na área de Redes para mulheres cis e trans a partir de 16 anos. As inscrições para este projeto estão abertas até 24 de abril pelo site."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Criada em 2020, como parte de um movimento internacional Girls in ICT, a proposta visa motivar meninas e mulheres a considerarem assuntos de ciência, tecnologia, engenharia e matemática (STEM na sigla em inglês) em seus planos de carreira."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"No Brasil, o projeto de mulheres na tecnologia somou mais de 3 mil participantes nas três edições anteriores e mais de 1.300 completaram os três módulos do curso CCNA (Cisco Certified Network Associate), uma formação voltada para a inserção das mulheres no mercado de trabalho."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,+ Descubra o que se estuda em Tecnologia da Informação
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Assim como em outras edições, o programa para mulheres na tecnologia, Women Rock IT, é dividido em quatro etapas: inscrições até o dia 24 de abril, no curso online Networking Essentials, que tem duração de 40 horas, e deve ser concluído com nota superior a 70%."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"As mil melhores estudantes desta etapa serão classificadas para outra fase, profissionalizante, podendo realizar a formação dos três módulos do CCNA, que seguem o seguinte cronograma:"
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"CCNA 1: Introdução à Rede, com início em 27 de abrilCCNA 2: Switching, Routing and Wireless Essentials, com início em 20 de junhoCCNA 3: Enterprise Network, Security and Automation, com início em 22 de agosto"
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Ao final do programa, a estudante também está pronta para se candidatar a uma certificação internacional em Redes. Saiba mais sobre o programa Women Rock It no site."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,Veja também:+ Qual Faculdade fazer depois dos 45 anos? Veja opções!
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Criado em 2016, o projeto oferece cursos gratuitos de programação para meninas a partir dos 10 anos de idade, além de oficinas, palestras e outras atividades que visam apresentar às mulheres as possibilidades e oportunidades que a área da tecnologia pode oferecer."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Com uma abordagem descontraída e inclusiva, o projeto é para mulheres na tecnologia que buscam desmistificar a ideia de que a programação é uma atividade exclusiva para homens, incentivando o desenvolvimento de habilidades em mulheres e mostrando que elas são capazes de se destacar e ter sucesso nessa área."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,+ Saiba quais profissões estão em alta na área de tecnologia
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Além dos cursos presenciais e online, o projeto também oferece uma comunidade virtual, na qual as participantes podem trocar experiências, tirar dúvidas e compartilhar conhecimentos. O Projeto Programaria também conta com uma rede de voluntárias, que atuam como instrutoras e mentoras, inspirando e orientando as meninas em seu processo de aprendizado."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Essa formação é para mulheres na tecnologia que queiram desenvolver competências direcionadas a liderança e habilidades básicas exigidas no mercado de trabalho de forma geral. O curso é gratuito e conta com diversos especialistas da área que abordam a temática, além de desenvolvimento pessoal, em 12 aulas."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,Entre os conteúdos abordados do curso estão: 
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,Acesse aqui e veja como se inscrever.
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Através de conteúdos de texto e vídeo, o curso conta com 52 aulas para mulheres na tecnologia que desejam trabalhar com inteligência artificial. O curso tem como objetivo ensinar como utilizar alguns dos serviços de Inteligência Artificial do Azure para fazer um caso de uso fim a fim, com exercícios práticos, programando em Python, utilizando tecnologias do Azure, tais como: Serviço de Fala, LUIS, Azure Storage, Cognitive Search e integração com o Power Apps."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,Confira mais aqui e se inscreva!
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Em parceria com a Rede Mulher Empreendedora e Instituto Rede Mulher Empreendedora, uma plataforma para mulheres neste ramo que buscam conhecimento para desenvolver seus negócios, o curso de Design Thinking foi elaborado de forma gratuita com 14 horas de aula."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Essa é uma metodologia de desenvolvimento de produtos e serviços focados nas necessidades, desejos e limitações dos usuários. Se inscreva neste link!"
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Para as mulheres na tecnologia que desejam trabalhar com dados, o curso Microsoft Power BI para Data Science, da Data Science Academy é uma opção! Essa formação busca orientar como utilizar o software, como também aplicar técnicas de leitura e captação de insights para as tomadas de decisão. Tudo isso de forma gratuita."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Uma área que está em ascensão é a de User Experience (UX), que busca trabalhar em cima da experiência do usuário. As mulheres na tecnologia que desejam atuar nessa área podem cursar essa formação de 8h, que aborda o entendimento e exploração dos cenários, além de definição de problemas e desafios."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Já as mulheres na tecnologia que desejam trabalhar diretamente com programação, um dos grandes passos é aprender algumas linguagens, como Python, muito indicada para iniciativas, além de ser muito usada em data science e machine learning, por exemplo."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Esse curso tem a duração de 80h e é dividido em 8 capítulos, abordando assuntos como manipulação de listas, funções, manipulação de arquivos e protocolos de comunicação."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,+ 8 cursos para quem gosta de tecnologia
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,As mulheres na tecnologia podem ocupar diversas áreas. Existem muitos cursos superiores que preparam os estudantes para trabalhar com isso. Alguns dos principais cursos são:
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Esses cursos oferecem uma formação abrangente em tecnologia, abordando áreas como programação, banco de dados, redes de computadores, segurança, inteligência artificial, ciência de dados, entre outras. "
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Os alunos que concluem esses cursos têm uma ampla variedade de opções de carreira na área de tecnologia, incluindo programação, análise de sistemas, gestão de TI, desenvolvimento de aplicativos e muito mais."
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,"Conheça algumas instituições de ensino superior, bem avaliadas e reconhecidas pelo Ministério da Educação (MEC), que oferecem essas graduações com desconto de até 80% nas mensalidades:"
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,+ Leia mais!10 profissões que surgiram com a TecnologiaComo trabalhar no Google? 10 dicas para conquistar uma vaga
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,Encontre bolsas de estudos de até 80% em menos de 1 minuto!
https://www.guiadacarreira.com.br/blog/cursos-gratuitos-para-mulheres-na-tecnologia,As melhores faculdades com ofertas super especiais para você começar a estudar sem sair de casa.
https://womakerscode.org/,Iniciamos como um coletivo e nos tornamos uma organizaçãosem fins lucrativos em 2021.
https://womakerscode.org/,"Cursos, programas de formação, mentorias, orientação de carreira, eventos e trilhas de conteúdo."
https://womakerscode.org/,Levamos conteúdo e inspiração para meninas e mulheres de todo Brasil. Do despertar a liderança.
